config_id,hidden_dims,dropout,learning_rate,batch_size,best_val_auprc,test_precision,test_recall,test_f1,test_auprc,test_mcc,final_train_loss
24,"(512, 256, 128)",0.5,0.002,512,0.7412440564882122,0.5996942563878576,0.7441734417344174,0.66416737211271,0.683006795688109,0.3688820162953678,0.09112453681573404
25,"(512, 256)",0.2,0.0001,512,0.7405030564264243,0.6291208791208791,0.6826558265582656,0.6547959448921238,0.6863841669325087,0.37813618646334385,0.07085898479001712
26,"(1024, 512)",0.5,0.0005,128,0.7428230912977378,0.5890326555760936,0.7772357723577236,0.6701717490361024,0.6824336947736481,0.3702693656621208,0.04782530393244492
27,"(1024, 512)",0.3,0.002,256,0.7416934371668704,0.6132162661737524,0.7192411924119241,0.662010476428037,0.6882871388434257,0.3754288828761295,0.03311879721573657
28,"(1024, 512)",0.4,0.002,512,0.7405389584542381,0.5833333333333334,0.7986449864498645,0.6742164264470373,0.681618518479005,0.3730132435818593,0.037474268651773446
29,"(1024, 512, 256)",0.4,0.002,512,0.7380158529596432,0.5751056473300038,0.8113821138211382,0.673111510791367,0.6815748755939242,0.36656684972120057,0.04115563070615836
30,"(512, 256, 128)",0.2,0.002,512,0.7425278767833832,0.6053220035778175,0.7336043360433604,0.6633178142612105,0.6824584865218142,0.3716241996527988,0.030923071243198572
31,"(512, 256)",0.2,0.001,512,0.7427561819145312,0.5818039828192112,0.8075880758807588,0.6763504312301407,0.6857952459645417,0.3755907741005541,0.02516151920982958
32,"(512, 256, 128)",0.3,0.001,128,0.7454519392208836,0.618776994771539,0.737669376693767,0.673012733341575,0.6928719807102066,0.39314834128894577,0.044570533865027955
33,"(1024, 512)",0.2,0.001,128,0.7467263280687864,0.6470426409903713,0.6373983739837399,0.6421843003412969,0.6980255460968504,0.37762862869062497,0.02791008738244677
34,"(512, 256)",0.3,0.002,512,0.7428928215978494,0.5903173311635476,0.786449864498645,0.6744132000929584,0.6868523415111396,0.377401300976437,0.040823488735255944
