config_id,hidden_dims,dropout,learning_rate,batch_size,best_val_auprc,test_precision,test_recall,test_f1,test_auprc,test_mcc,final_train_loss
64,"(512, 256)",0.5,0.001,512,0.9755739702763389,0.9560185185185185,0.9604651162790697,0.9582366589327146,0.9741298689482918,0.9151850909443106,0.003537626653585745
65,"(1024, 512)",0.2,0.0005,128,0.9764287145482525,0.9447513812154696,0.9941860465116279,0.9688385269121813,0.9747657454869452,0.9364811357817995,0.0003146826213600838
66,"(512, 256)",0.2,0.0001,256,0.9743826902128792,0.9527027027027027,0.9837209302325581,0.9679633867276889,0.9769345298013054,0.9345097336062169,0.00968525761531459
67,"(256, 128)",0.3,0.0005,512,0.9755309903014985,0.9576659038901602,0.9732558139534884,0.9653979238754324,0.9735662705704229,0.9294281190673195,0.004510541507245406
68,"(1024, 512)",0.5,0.0005,512,0.9746579203649458,0.9463687150837988,0.9848837209302326,0.9652421652421653,0.9729492801916788,0.9288910625524743,0.0014786682681322259
69,"(1024, 512)",0.4,0.0001,256,0.9723244235974946,0.9481397970687712,0.977906976744186,0.9627933600457927,0.9779136245264789,0.9238627628777407,0.005464165776761042
70,"(512, 256)",0.2,0.002,256,0.9706407909758041,0.9452513966480447,0.9837209302325581,0.9641025641025641,0.9729521139608699,0.9265316865345865,0.0004419743746337998
71,"(512, 256)",0.4,0.0001,512,0.9745869563850245,0.9553775743707094,0.9709302325581395,0.9630911188004613,0.9747024809270463,0.9247142542428569,0.04905314630140429
72,"(1024, 512)",0.5,0.0001,128,0.9744831406175615,0.9580022701475596,0.9813953488372092,0.9695577254451464,0.9779685067843101,0.9378303312364954,0.00422704155336962
73,"(1024, 512, 256)",0.4,0.0005,128,0.9765801923034348,0.9559819413092551,0.9848837209302326,0.9702176403207331,0.9719478953858517,0.9391578626226068,0.013219336168064425
74,"(256, 128)",0.4,0.0001,256,0.9739615574739053,0.9539325842696629,0.9872093023255814,0.9702857142857141,0.975519448616509,0.9393004541042989,0.040933468606736925
75,"(1024, 512)",0.5,0.002,512,0.9737285669964774,0.9519015659955258,0.9895348837209302,0.9703534777651083,0.9740438363177887,0.9394640635094361,0.00300156623226307
76,"(1024, 512, 256)",0.2,0.001,128,0.9739054660014788,0.9479512735326688,0.9953488372093023,0.9710720363017584,0.9622537770362594,0.9410895964120486,0.006033362287881674
77,"(512, 256, 128)",0.3,0.001,512,0.974931090802756,0.9526558891454965,0.9593023255813954,0.9559675550405562,0.9765573721303116,0.9104824401712943,0.002422743432638843
78,"(512, 256)",0.5,0.002,128,0.9773752234224641,0.9611872146118722,0.9790697674418605,0.9700460829493087,0.9760903542000423,0.9388931061343315,0.0060043334369159615
79,"(256, 128)",0.5,0.0005,512,0.9764803564991669,0.954337899543379,0.9720930232558139,0.9631336405529953,0.9753385626224781,0.9247504904625602,0.0073382032873189965
80,"(512, 256)",0.5,0.002,256,0.9757408922322258,0.9562289562289562,0.9906976744186047,0.9731581953169618,0.9738022453748091,0.9452363805891761,0.006175865101653875
81,"(512, 256)",0.5,0.001,128,0.9792169937082917,0.9601820250284414,0.9813953488372092,0.9706728004600346,0.9787042570151122,0.9401374848170632,0.007023730632661479
82,"(512, 256)",0.2,0.0005,512,0.9749971312474712,0.9568261376896149,0.9534883720930233,0.9551543389633081,0.9727237052545424,0.9092996690234646,0.00214084719925228
83,"(512, 256)",0.3,0.001,512,0.9722768869495788,0.9498327759197325,0.9906976744186047,0.9698349459305635,0.9776269219853333,0.9384207458001046,0.0007735176420638985
84,"(256, 128)",0.3,0.001,128,0.9744952153867078,0.9536723163841808,0.9813953488372092,0.9673352435530086,0.9757239993429873,0.9332304164520797,0.00299018560261983
85,"(256, 128)",0.5,0.001,256,0.9756480261278556,0.9558323895809739,0.9813953488372092,0.9684452094090648,0.9793418575531705,0.9355279870127127,0.004818689244307784
86,"(512, 256, 128)",0.5,0.0005,256,0.9791757626113015,0.9543899657924744,0.9732558139534884,0.9637305699481865,0.9765930115334082,0.9259491352154653,0.0029231607901035912
87,"(1024, 512, 256)",0.5,0.001,128,0.9714257589940127,0.9536199095022625,0.9802325581395349,0.966743119266055,0.9683798460653862,0.9320206924054518,0.011601938126073543
88,"(1024, 512)",0.4,0.002,128,0.9785548708295463,0.9323144104803494,0.9930232558139535,0.9617117117117118,0.9702755709191612,0.9218354171581359,0.004672227743978712
89,"(512, 256, 128)",0.3,0.002,256,0.9758717135382377,0.9582366589327146,0.9604651162790697,0.9593495934959348,0.9757242222437335,0.9175362452635937,0.008713857850751891
90,"(1024, 512)",0.3,0.001,512,0.9754363377401483,0.9433962264150944,0.9883720930232558,0.9653605905735377,0.9712517976016787,0.9291795423439039,0.0008992591066761752
91,"(512, 256)",0.3,0.002,128,0.9745725428765187,0.9427942794279428,0.9965116279069768,0.9689089881288864,0.9691299032015289,0.9367228181353215,0.0028913784724257613
92,"(512, 256, 128)",0.5,0.002,256,0.9794548884813257,0.9507278835386338,0.9872093023255814,0.9686252139189959,0.9692963727435593,0.9358825676360099,0.006386754639162165
93,"(1024, 512, 256)",0.3,0.0005,256,0.9740485023950219,0.9573241061130334,0.9651162790697675,0.9612044006948466,0.9745776086764297,0.9210932696222884,0.0007780053128145583
94,"(512, 256)",0.4,0.002,512,0.9749529377656582,0.95,0.9720930232558139,0.9609195402298849,0.9723813803579834,0.9201234452481655,0.0024650793101223508
95,"(256, 128)",0.3,0.0001,512,0.972080095724881,0.9421768707482994,0.9662790697674418,0.9540757749712974,0.9746720101167508,0.906028563544671,0.10420313445122345
96,"(1024, 512)",0.4,0.0001,512,0.9728879037082615,0.9517396184062851,0.986046511627907,0.9685893774985723,0.9770094713686058,0.9358011868355216,0.01572987497986659
97,"(1024, 512, 256)",0.4,0.001,256,0.9748247186467609,0.9568181818181818,0.9790697674418605,0.967816091954023,0.9668334739379224,0.9342683397753143,0.0008455565671384749
98,"(512, 256)",0.4,0.001,512,0.9736289864455496,0.9564705882352941,0.9453488372093023,0.9508771929824562,0.9707491356252229,0.9011210731338481,0.0009328571386108904
99,"(512, 256, 128)",0.2,0.001,128,0.981490819843628,0.9565714285714285,0.9732558139534884,0.9648414985590776,0.9698429910587716,0.9282672528382517,0.004024475009242047
100,"(1024, 512)",0.3,0.0001,128,0.9737858756050461,0.9580022701475596,0.9813953488372092,0.9695577254451464,0.976585562751256,0.9378303312364954,0.00274626724421978
101,"(256, 128)",0.3,0.0005,256,0.9734999051969185,0.9548022598870056,0.9825581395348837,0.9684813753581661,0.9732543663141645,0.9355884476288082,0.001970001969150164
102,"(512, 256)",0.2,0.001,128,0.972178106611259,0.9616279069767442,0.9616279069767442,0.9616279069767442,0.9714115739946853,0.92224843203641,0.0002885846990264124
103,"(1024, 512, 256)",0.3,0.001,256,0.9748180540100513,0.9414364640883978,0.9906976744186047,0.9654390934844194,0.971055777270333,0.9293979795275529,0.0006321057830064092
104,"(1024, 512, 256)",0.3,0.002,128,0.9739032572361743,0.9516310461192351,0.9837209302325581,0.967409948542024,0.9729191198628466,0.9333665136055647,0.007537466557126512
105,"(512, 256, 128)",0.4,0.001,256,0.9760857449135337,0.9396267837541163,0.9953488372093023,0.966685488424619,0.9750368274945779,0.9321271596926738,0.005318814007073847
106,"(512, 256, 128)",0.2,0.0005,512,0.9718774047193421,0.9581839904420549,0.9325581395348838,0.9451974071891573,0.9718256225087671,0.8908062445933685,0.0007255406140440913
107,"(1024, 512)",0.5,0.0005,256,0.9764694334134679,0.9374313940724479,0.9930232558139535,0.9644268774703557,0.976613361681941,0.9274027245432229,0.0016629652640808166
108,"(256, 128)",0.5,0.0001,128,0.9752394732061743,0.9592298980747452,0.9848837209302326,0.9718875502008033,0.979112064699784,0.9426013924110651,0.020516332802880143
109,"(1024, 512)",0.5,0.001,128,0.9778958951749199,0.9359823399558499,0.986046511627907,0.9603624009060023,0.9703975042361069,0.9188302898518598,0.008393248427698079
110,"(1024, 512, 256)",0.5,0.0005,256,0.9721629064294738,0.9480088495575221,0.9965116279069768,0.971655328798186,0.9753030510464293,0.9423261902235064,0.005668296410133027
111,"(512, 256)",0.3,0.0005,128,0.9765949453101999,0.9610983981693364,0.9767441860465116,0.9688581314878892,0.9753095528100231,0.9364989163040134,0.0010996124199058007
112,"(512, 256, 128)",0.4,0.002,256,0.974620412317605,0.9487750556792873,0.9906976744186047,0.969283276450512,0.9736432219568321,0.9372888879624985,0.009811502775927591
113,"(512, 256)",0.5,0.002,512,0.9771573611452881,0.9549041713641488,0.9848837209302326,0.9696622781911849,0.973402221325218,0.9380124052822556,0.005121051784321342
114,"(1024, 512)",0.4,0.0001,128,0.9746297452763094,0.9569160997732427,0.9813953488372092,0.9690011481056257,0.9769096970464843,0.9366785601910241,0.0030554251396097245
115,"(512, 256, 128)",0.5,0.0005,128,0.9775420888968157,0.9527027027027027,0.9837209302325581,0.9679633867276889,0.9770548874342974,0.9345097336062169,0.008919834927170692
116,"(1024, 512, 256)",0.3,0.0005,128,0.9751132652952261,0.9446902654867256,0.9930232558139535,0.9682539682539683,0.975366854918896,0.9352435816754684,0.001699236234435375
117,"(512, 256, 128)",0.4,0.0005,512,0.9735478129796707,0.9568261376896149,0.9534883720930233,0.9551543389633081,0.9722822150074839,0.9092996690234646,0.0019477898616890382
118,"(512, 256)",0.2,0.0005,128,0.9749386152199265,0.9610538373424972,0.9755813953488373,0.9682631275245239,0.972884671226692,0.935303900805994,0.0004083204176115234
119,"(256, 128)",0.5,0.002,256,0.9740889147762984,0.9558823529411765,0.9825581395348837,0.9690366972477064,0.9785286022693851,0.9367365220880809,0.007792673444944538
120,"(1024, 512, 256)",0.5,0.002,256,0.9729182307594242,0.9361936193619362,0.9895348837209302,0.9621254946297344,0.9722614587563015,0.9225519238525391,0.004916539700126224
121,"(1024, 512)",0.4,0.0005,256,0.974660750795021,0.9424778761061947,0.9906976744186047,0.9659863945578232,0.9770665557019215,0.9305218426434431,0.0015414627792779355
122,"(512, 256)",0.3,0.0005,512,0.9751780619825949,0.958041958041958,0.9558139534883721,0.9569266589057043,0.9716732288448919,0.9128291941908108,0.0016615097436284566
123,"(512, 256, 128)",0.4,0.001,512,0.974552555525942,0.928416485900217,0.9953488372093023,0.9607182940516275,0.9789142231252468,0.919919818280081,0.01001708379076065
124,"(1024, 512)",0.4,0.0005,128,0.9762178992025321,0.9457964601769911,0.9941860465116279,0.9693877551020408,0.9748749271755682,0.9376044511914811,0.0008368731998618589
125,"(1024, 512)",0.5,0.0001,256,0.9729225808740141,0.9571589627959414,0.9872093023255814,0.9719519175729822,0.9787522776872497,0.9427289527504271,0.007334733982053068
126,"(1024, 512, 256)",0.4,0.0001,128,0.9737645624029037,0.9480088495575221,0.9965116279069768,0.971655328798186,0.9726810231400909,0.9423261902235064,0.003091029726460369
127,"(512, 256, 128)",0.3,0.0001,512,0.9747048767807449,0.9595375722543352,0.9651162790697675,0.9623188405797102,0.9731931660449384,0.9234366638371218,0.016870996307419693
128,"(1024, 512)",0.2,0.0001,128,0.9735770145190594,0.956964892412231,0.9825581395348837,0.9695926563396443,0.9756073864272576,0.9378857888121634,0.0026111614731942406
129,"(256, 128)",0.3,0.001,256,0.9759152232602161,0.9548022598870056,0.9825581395348837,0.9684813753581661,0.9785210771005981,0.9355884476288082,0.0012795586953870952
130,"(1024, 512)",0.2,0.002,128,0.978475038549803,0.9302832244008714,0.9930232558139535,0.9606299212598425,0.9733306601814835,0.9196161328262377,0.0005485924353466645
